Rank,Release Group,Worldwide,Domestic,%,Foreign,%
162,Happy-Go-Lucky,"$18,696,602","$3,512,016",18.8%,"$15,184,586",81.2%
163,Easy Virtue,"$18,463,793","$2,656,784",14.4%,"$15,807,009",85.6%
164,Kabei: Our Mother,"$18,385,964","$14,416",<0.1%,"$18,371,548",99.9%
165,The Visitor,"$18,197,518","$9,427,089",51.8%,"$8,770,429",48.2%
166,City of Ember,"$17,929,684","$7,873,007",43.9%,"$10,056,677",56.1%
167,Friendship,"$17,779,520","$1,243,910",7%,"$16,535,610",93%
168,Deception,"$17,772,506","$4,598,506",25.9%,"$13,174,000",74.1%
169,Reign of Government,"$17,722,998","$1,009,065",5.7%,"$16,713,933",94.3%
170,Kit Kittredge: An American Girl,"$17,657,973","$17,657,973",100%,-,-
171,The Oxford Murders,"$17,646,627","$4,803",<0.1%,"$17,641,824",100%
172,Swing Vote,"$17,634,313","$16,289,867",92.4%,"$1,344,446",7.6%
173,Rachel Getting Married,"$16,937,968","$12,796,841",75.6%,"$4,141,127",24.4%
174,Miss Pettigrew Lives for a Day,"$16,724,933","$12,313,694",73.6%,"$4,411,239",26.4%
175,Two Lovers,"$16,303,643","$3,149,034",19.3%,"$13,154,609",80.7%
176,Shine a Light,"$15,773,351","$5,505,267",34.9%,"$10,268,084",65.1%
177,The Haunting of Molly Hartley,"$15,418,749","$13,559,812",87.9%,"$1,858,937",12.1%
178,Elegy,"$14,894,347","$3,581,642",24%,"$11,312,705",76%
179,Religulous,"$13,639,115","$13,011,160",95.4%,"$627,955",4.6%
180,Brideshead Revisited,"$13,451,186","$6,432,256",47.8%,"$7,018,930",52.2%
181,The Pirates Who Don't Do Anything: A VeggieTales Movie,"$13,247,725","$12,981,269",98%,"$266,456",2%
182,The Lord of Ghosts,"$13,236,817","$476,032",3.6%,"$12,760,785",96.4%
183,Paris 36,"$12,940,622","$851,540",6.6%,"$12,089,082",93.4%
184,Cherry Blossoms,"$12,861,658","$104,589",0.8%,"$12,757,069",99.2%
185,Soul Men,"$12,331,637","$12,082,391",98%,"$249,246",2%
186,Smart People,"$11,843,604","$9,511,289",80.3%,"$2,332,315",19.7%
187,The Longshots,"$11,767,866","$11,537,046",98%,"$230,820",2%
188,Watch Out Ladies,"$11,386,430","$702,166",6.2%,"$10,684,264",93.8%
189,Quiet Chaos,"$11,326,121","$11,434",0.1%,"$11,314,687",99.9%
190,Tashan,"$11,283,337","$457,380",4.1%,"$10,825,957",95.9%
191,Il Divo,"$11,260,366","$240,159",2.1%,"$11,020,207",97.9%
192,Let the Right One In,"$11,227,336","$2,122,065",18.9%,"$9,105,271",81.1%
193,Stop-Loss,"$11,212,953","$10,915,744",97.3%,"$297,209",2.7%
194,Waltz with Bashir,"$11,179,372","$2,283,849",20.4%,"$8,895,523",79.6%
195,Rudo y Cursi,"$11,169,232","$1,827,660",16.4%,"$9,341,572",83.6%
196,Kismat Konnection,"$11,019,454","$490,154",4.4%,"$10,529,300",95.6%
197,U Me Aur Hum,"$10,948,019","$1,028,191",9.4%,"$9,919,828",90.6%
198,Son of Rambow,"$10,871,449","$1,785,505",16.4%,"$9,085,944",83.6%
199,Flame & Citron,"$10,186,084","$148,089",1.5%,"$10,037,995",98.5%
200,Punisher: War Zone,"$10,161,493","$8,050,977",79.2%,"$2,110,516",20.8%
201,Let's Talk About the Rain,"$10,134,366","$111,844",1.1%,"$10,022,522",98.9%
202,The Express,"$9,808,124","$9,793,406",99.8%,"$14,718",0.2%
203,Mid-August Lunch,"$9,520,933","$675,299",7.1%,"$8,845,634",92.9%
204,Miracle at St. Anna,"$9,333,654","$7,919,117",84.8%,"$1,414,537",15.2%
205,Seraphine,"$9,329,376","$884,613",9.5%,"$8,444,763",90.5%
206,Ong Bak 2,"$8,936,663","$102,458",1.1%,"$8,834,205",98.9%
207,Cadillac Records,"$8,883,644","$8,195,551",92.3%,"$688,093",7.7%
208,The Rocker,"$8,808,935","$6,409,528",72.8%,"$2,399,407",27.2%
209,Dolphins and Whales 3D: Tribes of the Ocean,"$8,808,659","$7,714,996",87.6%,"$1,093,663",12.4%
210,Big Stan,"$8,742,330",-,-,"$8,742,330",100%
211,How She Move,"$8,659,212","$7,070,641",81.7%,"$1,588,571",18.3%
212,Fashion,"$8,658,713","$191,442",2.2%,"$8,467,271",97.8%
213,Then She Found Me,"$8,443,998","$3,735,717",44.2%,"$4,708,281",55.8%
214,Death Defying Acts,"$8,394,639","$5,665",<0.1%,"$8,388,974",99.9%
215,My Mom's New Boyfriend,"$7,963,718",-,-,"$7,963,718",100%
216,Funny Games,"$7,938,872","$1,294,919",16.3%,"$6,643,953",83.7%
217,Summer Hours,"$7,835,857","$1,657,001",21.1%,"$6,178,856",78.9%
218,The Children of Huang Shi,"$7,785,317","$1,031,872",13.3%,"$6,753,445",86.7%
219,Expelled: No Intelligence Allowed,"$7,720,487","$7,720,487",100%,-,-
220,Thoda Pyaar Thoda Magic,"$7,631,012","$365,401",4.8%,"$7,265,611",95.2%
221,Kidnap,"$7,601,003",-,-,"$7,601,003",100%
222,Nothing Like the Holidays,"$7,519,490","$7,503,736",99.8%,"$15,754",0.2%
223,The Girl from Monaco 2008 Re-release,"$7,501,546","$602,992",8%,"$6,898,554",92%
224,Mere Baap Pehle Aap,"$7,433,423","$113,576",1.5%,"$7,319,847",98.5%
225,Lemon Tree,"$7,387,488","$569,672",7.7%,"$6,817,816",92.3%
226,A Christmas Tale,"$7,356,393","$1,060,922",14.4%,"$6,295,471",85.6%
227,Krazzy 4,"$7,274,081","$487,215",6.7%,"$6,786,866",93.3%
228,The Life Before Her Eyes,"$7,248,490","$303,439",4.2%,"$6,945,051",95.8%
229,Young@Heart,"$7,097,002","$3,992,189",56.3%,"$3,104,813",43.7%
230,Outlander,"$7,034,698","$166,003",2.4%,"$6,868,695",97.6%
231,An American Carol,"$7,013,191","$7,013,191",100%,-,-
232,Strange Wilderness,"$6,964,734","$6,575,282",94.4%,"$389,452",5.6%
233,North Face,"$6,815,056","$711,421",10.4%,"$6,103,635",89.6%
234,What Just Happened,"$6,710,888","$1,090,947",16.3%,"$5,619,941",83.7%
235,College,"$6,265,483","$4,694,636",74.9%,"$1,570,847",25.1%
236,One Two Three,"$6,090,432","$274,589",4.5%,"$5,815,843",95.5%
237,Transsiberian,"$5,926,410","$2,206,405",37.2%,"$3,720,005",62.8%
238,Passengers,"$5,787,152","$292,437",5.1%,"$5,494,715",94.9%
239,The Burning Plain,"$5,642,478","$200,730",3.6%,"$5,441,748",96.4%
240,The Legend of Drona,"$5,476,404","$475,104",8.7%,"$5,001,300",91.3%
241,Frozen River,"$5,457,664","$2,511,476",46%,"$2,946,188",54%
242,Virgin Territory,"$5,410,749",-,-,"$5,410,749",100%
243,Diary of the Dead,"$5,364,858","$958,961",17.9%,"$4,405,897",82.1%
244,Man on Wire,"$5,258,569","$2,962,242",56.3%,"$2,296,327",43.7%
245,Charlie Bartlett,"$5,254,986","$3,951,699",75.2%,"$1,303,287",24.8%
246,Prince,"$5,167,952","$570,090",11%,"$4,597,862",89%
247,Lorna's Silence,"$5,123,676","$338,795",6.6%,"$4,784,881",93.4%
248,Hamlet 2,"$4,925,288","$4,886,216",99.2%,"$39,072",0.8%
249,Cloud 9,"$4,864,463","$91,675",1.9%,"$4,772,788",98.1%
250,God You Are Great,"$4,807,638","$163,756",3.4%,"$4,643,882",96.6%
251,Flash of Genius,"$4,802,953","$4,442,377",92.5%,"$360,576",7.5%
252,Bottle Shock,"$4,628,553","$4,078,607",88.1%,"$549,946",11.9%
253,"Synecdoche, New York","$4,471,324","$3,083,538",69%,"$1,387,786",31%
254,Heroes,"$4,229,775","$655,538",15.5%,"$3,574,237",84.5%
255,Witless Protection,"$4,161,625","$4,161,625",100%,-,-
256,Eden Lake,"$3,983,997","$7,321",0.2%,"$3,976,676",99.8%
257,Choke,"$3,982,459","$2,926,565",73.5%,"$1,055,894",26.5%
258,The Fall,"$3,669,465","$2,266,905",61.8%,"$1,402,560",38.2%
259,The Midnight Meat Train,"$3,534,313","$83,361",2.4%,"$3,450,952",97.6%
260,Still Walking,"$3,511,120","$167,047",4.8%,"$3,344,073",95.2%
261,Everlasting Moments,"$3,334,754","$610,825",18.3%,"$2,723,929",81.7%
262,"Patrik, Age 1.5","$3,259,068","$57,468",1.8%,"$3,201,600",98.2%
263,Pathology,"$3,234,706","$109,846",3.4%,"$3,124,860",96.6%
264,Chocolate,"$3,179,014","$14,845",0.5%,"$3,164,169",99.5%
265,The Wackness,"$3,175,469","$2,077,116",65.4%,"$1,098,353",34.6%
266,Killshot,"$2,961,647","$18,643",0.6%,"$2,943,004",99.4%
267,Married Life,"$2,888,315","$1,507,990",52.2%,"$1,380,325",47.8%
268,"Moscow, Belgium","$2,842,635",-,-,"$2,842,635",100%
269,Terribly Happy,"$2,828,984","$170,943",6%,"$2,658,041",94%
270,Every Little Step,"$2,769,763","$1,725,141",62.3%,"$1,044,622",37.7%
271,Hunger,"$2,724,474","$154,084",5.7%,"$2,570,390",94.3%
272,Redbelt,"$2,674,090","$2,345,941",87.7%,"$328,149",12.3%
273,The Nightmare Before Christmas 2009 3D Release,"$2,578,558","$1,109,188",43%,"$1,469,370",57%
274,JCVD,"$2,342,211","$470,691",20.1%,"$1,871,520",79.9%
275,Teeth,"$2,340,110","$347,578",14.9%,"$1,992,532",85.1%
276,The Beaches of Agnès,"$2,225,430","$239,711",10.8%,"$1,985,719",89.2%
277,Home 2008 Re-release,"$2,186,716","$15,925",0.7%,"$2,170,791",99.3%
278,The Black Balloon,"$2,136,663",-,-,"$2,136,663",100%
279,Mutant Chronicles,"$2,131,057","$6,820",0.3%,"$2,124,237",99.7%
280,Roadside Romeo,"$1,978,021","$55,202",2.8%,"$1,922,819",97.2%
281,Oye Lucky! Lucky Oye!,"$1,976,868","$80,037",4%,"$1,896,831",96%
282,Ashes of Time,"$1,935,416","$174,273",9%,"$1,761,143",91%
283,Three Monkeys 2008 Re-release,"$1,924,847","$41,343",2.1%,"$1,883,504",97.9%
284,Henry Poole Is Here,"$1,923,800","$1,836,515",95.5%,"$87,285",4.5%
285,Smother,"$1,851,790",-,-,"$1,851,790",100%
286,A Woman in Berlin,"$1,847,322","$294,014",15.9%,"$1,553,308",84.1%
287,Che: Part One/Che: Part Two,"$1,778,287","$1,497,109",84.2%,"$281,178",15.8%
288,The Polar Express 2008 IMAX Release,"$1,705,694","$1,705,694",100%,-,-
289,A Thousand Years of Good Prayers,"$1,665,585","$76,806",4.6%,"$1,588,779",95.4%
290,Talento de barrio,"$1,650,198","$68,542",4.2%,"$1,581,656",95.8%
291,The Hottie & the Nottie,"$1,596,232","$27,696",1.7%,"$1,568,536",98.3%
292,"Mèche Blanche, les aventures du petit castor","$1,591,520","$360,886",22.7%,"$1,230,634",77.3%
293,Good,"$1,552,024","$27,276",1.8%,"$1,524,748",98.2%
294,Gonzo: The Life and Work of Dr. Hunter S. Thompson,"$1,491,958","$1,252,100",83.9%,"$239,858",16.1%
295,Ek Vivaah... Aisa Bhi,"$1,456,886","$6,437",0.4%,"$1,450,449",99.6%
296,Food Beware: The French Organic Revolution,"$1,429,635","$1,181",<0.1%,"$1,428,454",99.9%
297,Bonneville,"$1,338,570","$488,393",36.5%,"$850,177",63.5%
298,Julia,"$1,333,241","$65,108",4.9%,"$1,268,133",95.1%
299,Before the Rains,"$1,316,722","$1,029,655",78.2%,"$287,067",21.8%
300,"War, Inc.","$1,296,184","$580,862",44.8%,"$715,322",55.2%
301,In Search of a Midnight Kiss,"$1,294,176","$172,605",13.3%,"$1,121,571",86.7%
302,Encounters at the End of the World,"$1,205,464","$944,933",78.4%,"$260,531",21.6%
303,Mumbai Meri Jaan,"$1,203,043","$16,407",1.4%,"$1,186,636",98.6%
304,Boy A,"$1,202,375","$113,662",9.5%,"$1,088,713",90.5%
305,Wendy and Lucy,"$1,192,655","$865,695",72.6%,"$326,960",27.4%
306,Tokyo!,"$1,189,862","$351,059",29.5%,"$838,803",70.5%
307,House,"$1,141,018","$575,048",50.4%,"$565,970",49.6%
308,American Teen,"$1,130,270","$942,441",83.4%,"$187,829",16.6%
309,Flashbacks of a Fool,"$1,117,269","$1,664",0.1%,"$1,115,605",99.9%
310,Surveillance,"$1,115,493","$27,349",2.5%,"$1,088,144",97.5%
311,Flight of the Red Balloon 2008 Re-release,"$1,080,135","$461,674",42.7%,"$618,461",57.3%
312,Up the Yangtze,"$1,029,211","$783,969",76.2%,"$245,242",23.8%
313,La Bohème,"$1,026,897","$54,464",5.3%,"$972,433",94.7%
314,Tokyo Sonata,"$940,430","$278,356",29.6%,"$662,074",70.4%
315,Battle in Seattle,"$908,847","$224,169",24.7%,"$684,678",75.3%
316,Go Go Tales,"$907,456",-,-,"$907,456",100%
317,Revanche,"$886,407","$258,388",29.2%,"$628,019",70.8%
318,Emma Smith: My Story,"$881,787","$881,787",100%,-,-
319,Fugitive Pieces,"$843,945","$635,783",75.3%,"$208,162",24.7%
320,I.O.U.S.A.,"$826,799","$821,046",99.3%,"$5,753",0.7%
321,Leonera,"$822,504","$14,739",1.8%,"$807,765",98.2%
322,Blonde and Blonder,"$779,273","$42,183",5.4%,"$737,090",94.6%
323,Forever Strong,"$719,556","$719,556",100%,-,-
324,Free Style,"$716,355","$141,108",19.7%,"$575,247",80.3%
325,$9.99,"$708,354","$52,384",7.4%,"$655,970",92.6%
326,Delgo,"$694,782","$694,782",100%,-,-
327,Donkey Punch,"$694,422","$19,367",2.8%,"$675,055",97.2%
328,Tony Manero,"$687,406","$20,677",3%,"$666,729",97%
329,Towelhead,"$675,662","$372,124",55.1%,"$303,538",44.9%
330,Anamorph,"$674,839","$6,950",1%,"$667,889",99%
331,Beer for My Horses,"$666,045","$666,045",100%,-,-
332,Where in the World Is Osama Bin Laden?,"$651,778","$384,955",59.1%,"$266,823",40.9%
