Rank,Release Group,Worldwide,Domestic,%,Foreign,%
238,Keeping Up with the Steins,"$4,409,374","$4,339,241",98.4%,"$70,133",1.6%
239,The Lost City,"$4,386,236","$2,484,186",56.6%,"$1,902,050",43.4%
240,Inland Empire,"$4,037,577","$861,355",21.3%,"$3,176,222",78.7%
241,Tristram Shandy: A Cock and Bull Story,"$3,931,982","$1,253,413",31.9%,"$2,678,569",68.1%
242,Brick,"$3,919,254","$2,075,743",53%,"$1,843,511",47%
243,Trailer Park Boys: The Movie,"$3,868,567","$3,860,678",99.8%,"$7,889",0.2%
244,The Polar Express 2006 IMAX Release,"$3,765,011","$2,940,722",78.1%,"$824,289",21.9%
245,Riding Alone for Thousands of Miles,"$3,752,325","$252,325",6.7%,"$3,500,000",93.3%
246,BloodRayne,"$3,650,275","$2,405,420",65.9%,"$1,244,855",34.1%
247,Factory Girl,"$3,572,632","$1,675,241",46.9%,"$1,897,391",53.1%
248,Lovewrecked,"$3,505,963",-,-,"$3,505,963",100%
249,Ten Canoes,"$3,360,030","$283,654",8.4%,"$3,076,376",91.6%
250,Boynton Beach Club,"$3,350,115","$3,127,472",93.4%,"$222,643",6.6%
251,Unknown,"$3,338,228","$26,403",0.8%,"$3,311,825",99.2%
252,Art School Confidential,"$3,306,629","$3,297,137",99.7%,"$9,492",0.3%
253,Heading South,"$3,294,052","$898,468",27.3%,"$2,395,584",72.7%
254,Lady Chatterley,"$3,200,383","$687,414",21.5%,"$2,512,969",78.5%
255,Wordplay,"$3,177,636","$3,121,270",98.2%,"$56,366",1.8%
256,Them,"$3,144,202","$50,057",1.6%,"$3,094,145",98.4%
257,The Boss of It All,"$3,111,395","$51,548",1.7%,"$3,059,847",98.3%
258,Nomad: The Warrior,"$3,088,685","$79,123",2.6%,"$3,009,562",97.4%
259,Samoan Wedding,"$2,993,332","$72,244",2.4%,"$2,921,088",97.6%
260,Romance & Cigarettes,"$2,935,242","$557,471",19%,"$2,377,771",81%
261,Wah-Wah,"$2,846,148","$234,750",8.2%,"$2,611,398",91.8%
262,O Jerusalem,"$2,724,303","$234,480",8.6%,"$2,489,823",91.4%
263,Infamous,"$2,689,799","$1,151,330",42.8%,"$1,538,469",57.2%
264,Find Me Guilty,"$2,636,637","$1,173,643",44.5%,"$1,462,994",55.5%
265,Imagine Me & You,"$2,635,305","$672,243",25.5%,"$1,963,062",74.5%
266,After Dark's Horror Fest: 8 Films to Die For,"$2,575,000","$2,575,000",100%,-,-
267,The Man of My Life,"$2,542,577","$7,704",0.3%,"$2,534,873",99.7%
268,Quinceañera,"$2,522,787","$1,692,693",67.1%,"$830,094",32.9%
269,Lonely Hearts,"$2,520,835","$188,565",7.5%,"$2,332,270",92.5%
270,Still Life,"$2,504,465","$76,983",3.1%,"$2,427,482",96.9%
271,Ask the Dust,"$2,460,057","$743,847",30.2%,"$1,716,210",69.8%
272,A Family Secret,"$2,438,422","$2,438,422",100%,-,-
273,Fur: An Imaginary Portrait of Diane Arbus,"$2,312,717","$223,202",9.7%,"$2,089,515",90.3%
274,Strangers with Candy,"$2,254,124","$2,072,645",91.9%,"$181,479",8.1%
275,Fast Food Nation,"$2,209,322","$1,005,539",45.5%,"$1,203,783",54.5%
276,Neil Young: Heart of Gold,"$2,201,933","$1,904,606",86.5%,"$297,327",13.5%
277,Candy,"$2,105,096","$45,128",2.1%,"$2,059,968",97.9%
278,Right at Your Door,"$2,043,704","$65,018",3.2%,"$1,978,686",96.8%
279,A Guide to Recognizing Your Saints,"$2,035,468","$517,809",25.4%,"$1,517,659",74.6%
280,The Italian,"$2,007,774","$555,436",27.7%,"$1,452,338",72.3%
281,The Wedding Weekend,"$1,985,004","$1,215,045",61.2%,"$769,959",38.8%
282,Election 2,"$1,833,853","$55,758",3%,"$1,778,095",97%
283,Renaissance,"$1,831,348","$70,644",3.9%,"$1,760,704",96.1%
284,Dans Paris,"$1,810,452","$63,667",3.5%,"$1,746,785",96.5%
285,The Notorious Bettie Page,"$1,778,006","$1,415,082",79.6%,"$362,924",20.4%
286,Sweet Land,"$1,774,931","$1,706,325",96.1%,"$68,606",3.9%
287,Who Killed the Electric Car?,"$1,764,304","$1,678,874",95.2%,"$85,430",4.8%
288,Starter for 10,"$1,736,394","$216,839",12.5%,"$1,519,555",87.5%
289,The Breed,"$1,689,984","$14,500",0.9%,"$1,675,484",99.1%
290,Sweetheart,"$1,656,433","$650,000",39.2%,"$1,006,433",60.8%
291,Lights in the Dusk,"$1,615,018","$14,056",0.9%,"$1,600,962",99.1%
292,Night of the Living Dead 3D,"$1,553,837","$271,000",17.4%,"$1,282,837",82.6%
293,The Road to Guantanamo,"$1,508,988","$326,876",21.7%,"$1,182,112",78.3%
294,Guadalupe,"$1,498,950","$848,139",56.6%,"$650,811",43.4%
295,Why We Fight,"$1,439,972","$1,439,972",100%,-,-
296,Peaceful Warrior,"$1,433,261","$1,066,748",74.4%,"$366,513",25.6%
297,The U.S. vs. John Lennon,"$1,408,065","$1,109,146",78.8%,"$298,919",21.2%
298,10 Items or Less,"$1,399,222","$83,291",6%,"$1,315,931",94%
299,Leonard Cohen: I'm Your Man,"$1,398,424","$1,044,254",74.7%,"$354,170",25.3%
300,Roméo et Juliette,"$1,386,582","$1,386,582",100%,-,-
301,Climates,"$1,385,085","$119,958",8.7%,"$1,265,127",91.3%
302,Snow Cake,"$1,381,665","$26,651",1.9%,"$1,355,014",98.1%
303,Umrao Jaan,"$1,371,723","$485,000",35.4%,"$886,723",64.6%
304,Blame it on Fidel,"$1,360,243","$168,065",12.4%,"$1,192,178",87.6%
305,The Work and the Glory III: A House Divided,"$1,325,092","$1,325,092",100%,-,-
306,Reprise,"$1,297,260","$554,826",42.8%,"$742,434",57.2%
307,Driving Lessons,"$1,277,351","$239,962",18.8%,"$1,037,389",81.2%
308,Exiled,"$1,230,135","$51,957",4.2%,"$1,178,178",95.8%
309,House of Sand,"$1,178,175","$539,285",45.8%,"$638,890",54.2%
310,Man About Town,"$1,165,186",-,-,"$1,165,186",100%
311,Humko Deewana Kar Gaye,"$1,149,417","$250,083",21.8%,"$899,334",78.2%
312,Red Road,"$1,128,345","$154,892",13.7%,"$973,453",86.3%
313,Family Law,"$1,062,915","$38,605",3.6%,"$1,024,310",96.4%
